,Stablecoin_Market_Cap,ETF_Volume_Proxy,BTC_Realized_Cap,Binance_BTC_OI
2024-12-23 00:00:00,"{'peggedUSD': 206141557119, 'peggedVAR': 93395156, 'peggedEUR': 254793674, 'peggedCNY': 70571, 'peggedUAH': 1054345, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9569581, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3232946}",2354221747.438431,,
2024-12-24 00:00:00,"{'peggedUSD': 206237910190, 'peggedVAR': 93339561, 'peggedEUR': 254817616, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9569944, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3410750}",1557160508.323288,,
2024-12-25 00:00:00,"{'peggedUSD': 206604625656, 'peggedVAR': 93362567, 'peggedEUR': 255196285, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9571417, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3434861}",1557160508.323288,,
2024-12-26 00:00:00,"{'peggedUSD': 206838178351, 'peggedVAR': 93368633, 'peggedEUR': 255242991, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9602627, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3440352}",1438982559.7816467,,
2024-12-27 00:00:00,"{'peggedUSD': 207569249272, 'peggedVAR': 93364552, 'peggedEUR': 255378408, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9626171, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3328160}",1931567450.9811401,,
2024-12-28 00:00:00,"{'peggedUSD': 207678024343, 'peggedVAR': 93346322, 'peggedEUR': 254705867, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9613487, 'peggedAUD': 2825697, 'peggedJPY': 186034892, 'peggedREAL': 3402958}",1931567450.9811401,,
2024-12-29 00:00:00,"{'peggedUSD': 207533716072, 'peggedVAR': 93372690, 'peggedEUR': 254710425, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9619562, 'peggedAUD': 2825697, 'peggedJPY': 185924892, 'peggedREAL': 3404828}",1931567450.9811401,,
2024-12-30 00:00:00,"{'peggedUSD': 207370561179, 'peggedVAR': 93370334, 'peggedEUR': 254632464, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1235532, 'peggedCHF': 9605503, 'peggedAUD': 2825697, 'peggedJPY': 185924892, 'peggedREAL': 3401518}",2106656969.985962,,
2024-12-31 00:00:00,"{'peggedUSD': 206535875772, 'peggedVAR': 93366380, 'peggedEUR': 249876126, 'peggedCNY': 70571, 'peggedUAH': 1049941, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1207532, 'peggedCHF': 9606805, 'peggedAUD': 2825697, 'peggedJPY': 185924892, 'peggedREAL': 3343664}",1599117957.0022583,,
2025-01-01 00:00:00,"{'peggedUSD': 205954241372, 'peggedVAR': 93372604, 'peggedEUR': 250391248, 'peggedCNY': 70571, 'peggedUAH': 1044115, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1207532, 'peggedCHF': 9608917, 'peggedAUD': 2510821, 'peggedJPY': 185924892, 'peggedREAL': 3374719}",1599117957.0022583,,
2025-01-02 00:00:00,"{'peggedUSD': 205467975146, 'peggedVAR': 93365449, 'peggedEUR': 249647210, 'peggedCNY': 70571, 'peggedUAH': 1034159, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1157532, 'peggedCHF': 9612135, 'peggedAUD': 2510821, 'peggedJPY': 185924892, 'peggedREAL': 3353975}",2271786760.1760864,,
2025-01-03 00:00:00,"{'peggedUSD': 207032862107, 'peggedVAR': 93395037, 'peggedEUR': 272370522, 'peggedCNY': 70571, 'peggedUAH': 1034159, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1107532, 'peggedCHF': 9643311, 'peggedAUD': 2510821, 'peggedJPY': 185924892, 'peggedREAL': 3241291}",1837698389.9345398,,
2025-01-04 00:00:00,"{'peggedUSD': 208253432248, 'peggedVAR': 93308151, 'peggedEUR': 271786114, 'peggedCNY': 70571, 'peggedUAH': 1038409, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1107532, 'peggedCHF': 9652348, 'peggedAUD': 2510821, 'peggedJPY': 185924892, 'peggedREAL': 3305384}",1837698389.9345398,,
2025-01-05 00:00:00,"{'peggedUSD': 208541463864, 'peggedVAR': 93317383, 'peggedEUR': 270306504, 'peggedJPY': 1730248030, 'peggedCNY': 70571, 'peggedUAH': 1038409, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1107532, 'peggedCHF': 9640852, 'peggedAUD': 2510821, 'peggedREAL': 3295580}",1837698389.9345398,,
2025-01-06 00:00:00,"{'peggedUSD': 208638502044, 'peggedVAR': 93318876, 'peggedEUR': 270023814, 'peggedJPY': 1730248871, 'peggedCNY': 70571, 'peggedUAH': 1038409, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1107532, 'peggedCHF': 9627161, 'peggedAUD': 2510821, 'peggedREAL': 3302939}",2752511241.357422,,
2025-01-07 00:00:00,"{'peggedUSD': 209207795723, 'peggedVAR': 93342016, 'peggedEUR': 273286796, 'peggedJPY': 1730251787, 'peggedCNY': 70571, 'peggedUAH': 1038409, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9549134, 'peggedAUD': 2510821, 'peggedREAL': 3170215}",3127511874.2599487,,
2025-01-08 00:00:00,"{'peggedUSD': 208601508781, 'peggedVAR': 92873020, 'peggedEUR': 275098540, 'peggedJPY': 1730254336, 'peggedCNY': 70571, 'peggedUAH': 1038409, 'peggedARS': 3100000000, 'peggedGBP': 5446, 'peggedCAD': 1007532, 'peggedCHF': 9515445, 'peggedAUD': 2510821, 'peggedREAL': 3211902}",2510767147.1824646,,
